Title,URL,Publication_Date,Content
US ambassador to Kenya Resigns Following Trump’s Presidential Victory,https://www.waltainfo.com/us-ambassador-to-kenya-resigns-following-trumps-presidential-victory/,,"Addis Ababa, November 14, 2024 (Addis Walta) US ambassador to Kenya, Meg Whitman, resigned a day after Donald Trump won election. In her resignation letter, Ambassador Meg Whitman said “It has been an honour and privilege to serve the American people through strengthening our partnership with Kenya.” She was appointed as US ambassador to Kenya in 2022 by President Joe Biden. “My efforts also opened the door for more American companies to do business in Kenya. Trade, jobs, and US investment in Kenya are at historic highs because of our efforts,” she said. In her letter she cited American public’s decision in the 2024 election as reason for her resignation. She stated “The American people have spoken, and a new president will be inaugurated in January,” per TRT World. US relation with Sub-Saharan Africa said to be neglected under previous Trump administration characterized by his racist remarks about the people in Africa. Walta Media and Communication Corporate S.C. (WMCC) is a broadcast media company based in Addis Ababa, the political capital of Africa. The company which owns TV and Radio Stations aspires to become a pan African media company currently disseminating information in local and international languages."
EPL Clubs Vote in Favor of Keeping VAR in 2024/25 Season,https://www.waltainfo.com/epl-clubs-vote-in-favor-of-keeping-var-in-2024-25-season/,," Addis Ababa, June 6, 2024 (Addis Walta) English Premier League Clubs voted 19 to 1 in favor of keeping the Video Assistance Referee (VAR) in 2024/25 season. Wolves triggered a vote on the use of VAR in the next season after formally submitting a resolution to the Premier League in May 2024. The club presented a nine reasons to support the suspension of VAR use in the highflying league. The Premier League has been under serious criticism on the use of VAR which was introduced to the league at the end of 2019/20 season. Fans, players and clubs have been venting their fumes on frequent match interruptions, delays, disallowance/instating of goals in high pacing football match which disrupt the momentum of the game. Fans have been frequently complaining that the application of VAR in matches significantly changing the game experience they used to enjoy prior to its introduction. In addition, match officials have been making frequent erroneous decisions which VAR has intended to alleviate. However, the decision to keep the use of VAR come with precondition according to Sky News. At the Annual General Meeting, the Premier League, the Professional Game Match Officials League (PGMOL) are said to have key role in the improvement of the system and reputation. As part of ongoing work to improve VAR, six key areas were focused including reducing delays to the game, improving fan experience through a reduction in the delays, implementation of more robust VAR training to improve consistency, increasing transparency and communication around VAR, delivery of a fan and stakeholder VAR communication campaign and among others. In order to pass the resolution triggered by Wolves, at least 14 clubs must have voted it. Walta Media and Communication Corporate S.C. (WMCC) is a broadcast media company based in Addis Ababa, the political capital of Africa. The company which owns TV and Radio Stations aspires to become a pan African media company currently disseminating information in local and international languages."
Current situation update,https://www.waltainfo.com/current-situation-update/,,"Addis Ababa, October 24, 2022 (Walta) – The ENDF has continued taking control of major urban centers in the past few days. The ENDF has succeeded in avoiding combat in urban areas while debilitating the military capabilities of the TPLF. The Government of Ethiopia is working in coordination with humanitarian agencies to continue providing humanitarian aid in these areas. It has also requested operators of essential services to expedite their preparation to resume services in these areas. The Government is also exploring ways in which public administration and social services in these areas could begin in consultation with the local population. Meanwhile, the Government of Ethiopia will be participating in the AU convened peace talks to be held in South Africa. The Government of Ethiopia views the talks as an opportunity to peacefully resolve the conflict and consolidate the improvement of the situation on the ground brought about through the sacrifices of the ENDF. The delegation of Ethiopian Government has left for South Africa this morning. OCTOBER 24, 2022 ADDIS ABABA Government Communication Service Walta Media and Communication Corporate S.C. (WMCC) is a broadcast media company based in Addis Ababa, the political capital of Africa. The company which owns TV and Radio Stations aspires to become a pan African media company currently disseminating information in local and international languages."
Ethiopia Makes the Best out of Conference Diplomacy,https://www.waltainfo.com/ethiopia-makes-the-best-out-of-conference-diplomacy/,,"Addis Ababa, November 14, 2024 (Addis Walta) Ministry of Foreign Affairs of Ethiopia stated that Ethiopia has recently been effective in utilizing the conference diplomacy held in the capital Addis Ababa. Ministry of Foreign Affairs Spokesperson, Ambassador Nebiat Getachew, gave a press briefing on current, regional and global issues to local and international correspondents. He noted that more than 30 international conferences were held in Addis Ababa in the past quarter, from which Ethiopia effectively benefited from conference diplomacy. The Ministry of Foreign Affairs of Ethiopia stated that Ethiopia has conducted effective work in conference diplomacy over the past quarter.  These conferences played a significant role for Ethiopia in image building, generating tourism revenue, and sharing various experiences in one place without wasting time and money, he added. He said that this quarter witnessed the growing capacity of Addis Ababa City in attracting conference tourism and diplomacy, including the recent “World without Hunger” conference.  Walta Media and Communication Corporate S.C. (WMCC) is a broadcast media company based in Addis Ababa, the political capital of Africa. The company which owns TV and Radio Stations aspires to become a pan African media company currently disseminating information in local and international languages."
Trump Appoints Elon Musk to Lead New Agency – GOGE,https://www.waltainfo.com/trump-appoints-elon-musk-to-lead-new-agency-goge/,,"Addis Ababa, November 13, 2024 (Addis Walta) US President-elect Donald Trump appointed billionaire Elon Musk to lead the newly created Department of Government Efficiency (DOGE). Elon Musk will lead DOGE together with former Republican presidential candidate and Biotechnology entrepreneur, Vivek Ramaswamy. DOGE will operate outside of government agency and will have advisory and guidance role for the White House. Trump said that DOGE will partner with Office of Management and Budget to “drive large scale structural reform, and create an entrepreneurial approach to government never seen before.” The president-elect boasted the two “will pave the way for my administration to dismantle government bureaucracy, slash excess regulations, cut wasteful expenditures, and restructure federal agencies”, according to The Guardian. Owner of Tesla, X and Neuralink, SpaceX and other numerous companies, Elon Musk, pledged to put out all actions of the department online for maximum  transparency. “Anytime the public thinks we are cutting something important or not cutting something wasteful, just let us know!” he said, while also promise to keep “a leaderboard for most insanely dumb spending of your tax dollars,” Musk added. DOGE expected to conclude its mission by 4 th July, 2026, just in time for America’s 250 th anniversary of the signing of the Declaration of Independence. Elon Musk has been the biggest donner in Donald Trump’s second presidential bid although the tech billionaire banned Trump from Twitter (now X) while he was in his first term at White House.   Walta Media and Communication Corporate S.C. (WMCC) is a broadcast media company based in Addis Ababa, the political capital of Africa. The company which owns TV and Radio Stations aspires to become a pan African media company currently disseminating information in local and international languages."
"“I Dream to Study Space Science” – Model, Dr. Misiker Kassahun",https://www.waltainfo.com/i-dream-to-study-space-science-model-dr-misiker-kassahun/,,"Walta Media and Communication Corporate S.C. (WMCC) is a broadcast media company based in Addis Ababa, the political capital of Africa. The company which owns TV and Radio Stations aspires to become a pan African media company currently disseminating information in local and international languages."
PM Abiy Ahmed Congratulates Paul Kagame upon his Reelection,https://www.waltainfo.com/pm-abiy-ahmed-congratulates-paul-kagame-upon-his-reelection/,," Addis Ababa, July 17, 2024 (Addis Walta) Prime Minister Abiy Ahmed congratulated Rwandan President, Paul Kagame for his reelection victory. “Wishing you continued success in your upcoming term. May your leadership bring further stability and development to Rwanda,” PM Abiy wrote on his “X” page. The 66-year-old Paul Kagame won Monday’s election, his fifth term, in a landslide 99% vote. Walta Media and Communication Corporate S.C. (WMCC) is a broadcast media company based in Addis Ababa, the political capital of Africa. The company which owns TV and Radio Stations aspires to become a pan African media company currently disseminating information in local and international languages."
INSA Director General Met with Russian Deputy Foreign Minister,https://www.waltainfo.com/insa-director-general-met-with-russian-deputy-foreign-minister/,,"Addis Ababa, April 19, 2024 (Addis Walta) Director-General of the Information Network Security Administration (INSA), Tigist Hamid met with Deputy Minister of Foreign Affairs of the Russian Federation, Vershinin Sergey Vasilievich, on the sidelines of the 10th meeting of the BRICS Working Group on Security Issues in the Use of Information and Communication Technologies (ICT). The Russian Deputy Foreign Minister welcomed the accession of Ethiopia to BRICS and expressed its readiness to strengthen dialogue and coordination with Ethiopian partners within the framework of the association. During the meeting, the two sides paid particular attention to the joint efforts to search for solutions to the problem of the “digital divide” between developed and developing countries through building ICT potential and cooperation in the International Telecommunication Union. 10th meeting of the BRICS Working Group on Security Issues in the Use of Information and Communication Technologies (ICT) focused on the prospects for interaction in line with the provisions of the bilateral intergovernmental agreement on international information security and on issues of responding to computer attacks. Walta Media and Communication Corporate S.C. (WMCC) is a broadcast media company based in Addis Ababa, the political capital of Africa. The company which owns TV and Radio Stations aspires to become a pan African media company currently disseminating information in local and international languages."
የሥልጠና እና ምርምር ማስታዎቂያ,https://www.waltainfo.com/የሥልጠና-እና-ምርምር-ማስታዎቂያ/,,"የዋልታ ሚዲያና ኮሚዩኒኬሽን ኮርፖሬት የስልጠናና የምርምር ማዕከል ዋልታ ሚዲያና ኮሚዩኒኬሽን ኮርፖሬት በራሱ ከፍተኛ ብቃት ባላቸው ባለሙያዎችና ስልጠና ከሚሰጡ የታወቁ ተቋማት ጋር በመተባበር በተለያዩ የኮሚዩኒኬሽንና የጋዜጠኝነት ሥራዎች እንዲሁም ተዛማጅ ዘርፎች በተመለከተ አጫጭር ሥልጠናዎችን ለጋዜጠኞች፣ ለካሜራ ባለሙያዎችና ለሌሎች ከዘርፉ ጋር ተዛማጅ ለሆኑ ባለሙያዎች  በተመጣጣኝ ዋጋ ለዓመታት ሲሰጥ የቆየ አንጋፋ ተቋም መሆኑ የሚታወቅ ነው፡፡  በመሆኑም በተቋማችን ስልጠና እንዲሰጥላችሁ የምትፈልጉ ተቋማት በተጠቀሱት የስልጠና ርዕሶች ወይም ተጨማሪ የስልጠና ፍላጐታችሁን በስልክ ቁጥሮች 0944959595/ 0115-264046/ 0114-705971/ 0114-670303 በመደወል፣ በፋክስ ቁጥር 0114-670302 በመላክ፣ መስቀል አደባባይ በሚገኘው የስልጠናና የምርምር ማዕከል ቢሯችን፣ ጠመንጃ ያዥ ባለው ዋና ቢሯችን በአካል በመቅረብ እንዲሁም የዋልታ ዌብሳይት ላይ ዝርዝር መረጃ በማግኘት የስልጠና ፍላጎታችሁን እንድታሳውቁንና አብራችሁን እንድትሰሩ በአክብሮት እንጋብዛለን፡፡ ዋልታ ለሀገሬ Walta Media and Communication Corporate Training and Research Center Tel: 251 114670303/ 251 115264046 / 251 114705971/ 251 11 0944959595 Fax: 251114670302  E-mail: [email protected] [email protected] P.O. Box 12918  SMS  8970 Walta Media and Communication Corporate S.C. (WMCC) is a broadcast media company based in Addis Ababa, the political capital of Africa. The company which owns TV and Radio Stations aspires to become a pan African media company currently disseminating information in local and international languages."
Addis Walta TV Live Streaming,https://www.waltainfo.com/addis-walta-tv-live-streaming/,,"Walta Media and Communication Corporate S.C. (WMCC) is a broadcast media company based in Addis Ababa, the political capital of Africa. The company which owns TV and Radio Stations aspires to become a pan African media company currently disseminating information in local and international languages."
Ambassador Mesganu Arga Confers with Japan’s Special Envoy to HoA,https://www.waltainfo.com/𝐀𝐦𝐛𝐚𝐬𝐬𝐚𝐝𝐨𝐫-𝐌𝐞𝐬𝐠𝐚𝐧/,,"Addis Ababa, November 16, 2024 (Addis Walta) The State Minister for Foreign Affairs, Ambassador Mesganu Arga, conferred with Japan’s Special Envoy for the Horn of Africa, Ambassador Shimizu Shinsuke. During the meeting, Ambassador Mesganu noted that the relation Ethiopia has with Japan is of a great importance. He congratulated the envoy for the successful Tokyo International Conference on African Development (TICAD) forum in Japan and emphasized the government’s commitment to TICAD and bilateral engagements, including trade and private sector investment from Japan. The Japan’s Special Envoy for the Horn of Africa, Ambassador Shimizu Shinsuke, on his part, lauded the successful bilateral meetings of the two countries’ delegations on the margins of TICAD Forum in Japan. The special envoy underscored the need for regional organizations like the AU and IGAD towards finding a lasting political solution for Sudan’s conflict, per MFA of Ethiopia. The two sides further discussed other regional issues of mutual concern. Walta Media and Communication Corporate S.C. (WMCC) is a broadcast media company based in Addis Ababa, the political capital of Africa. The company which owns TV and Radio Stations aspires to become a pan African media company currently disseminating information in local and international languages."
"Minister of Finance, NBE Governor Meet with IMF Chief",https://www.waltainfo.com/minister-of-finance-nbe-governor-meet-with-imf-chief/,,"Addis Ababa, April 17, 2024 (Addis Walta) Ethiopia’s Minister of Finance, Ahmed Shide, and the Governor of National Bank of Ethiopia, Mamo Mihretu, met and held a brief conversation with the Managing Director of the International Monetary Fund (IMF), Kristalina Georgieva, in Geneva, Switzerland. Following her meeting with the Ethiopian high-level delegation, the IMF chief noted on X that their discussion focused on prospects for Ethiopia’s ambitious homegrown economic reform program. They also touched up on ways how IMF can support Ethiopia’s progress and endeavors. “Our teams will continue to work together in the days ahead,” Kristalina Georgieva added Walta Media and Communication Corporate S.C. (WMCC) is a broadcast media company based in Addis Ababa, the political capital of Africa. The company which owns TV and Radio Stations aspires to become a pan African media company currently disseminating information in local and international languages."
